method,model,rmse,score,adjr2,mae
KMode,XGBoost,130037.9364,0.864615,0.837077,73317.76951
KMode,MLR,167518.4018,0.774102,0.715178,86981.24531
KMode,CatBoost,120099.5443,0.861906,0.823636,73713.62965
KMode,RandomForest,131309.6216,0.823385,0.7714,79046.39855
KMode,GradientBoost,128913.7309,0.837626,0.807608,76308.95194
KMode,XGBoost,124222.0369,0.857603,0.828076,72735.51117
KMode,MLR,144470.2477,0.782295,0.727248,90080.34038
KMode,CatBoost,123890.2482,0.856877,0.820558,72148.01191
KMode,RandomForest,138307.6286,0.805832,0.751596,83118.09003
KMode,GradientBoost,130313.7515,0.835534,0.792487,80053.84176
KMode,XGBoost,123958.922,0.848821,0.819336,72384.75533
KMode,MLR,141338.7327,0.804261,0.749029,83205.84761
KMode,CatBoost,127447.4131,0.856385,0.821849,74969.44425
KMode,RandomForest,120668.2002,0.836223,0.794034,74561.39757
KMode,GradientBoost,138520.4777,0.82428,0.78226,79653.65911
KMode,XGBoost,120876.016,0.866167,0.836369,71981.9984
KMode,MLR,147341.7216,0.806731,0.747552,87348.3991
KMode,CatBoost,117433.6495,0.836494,0.808182,73151.89897
KMode,RandomForest,142045.3756,0.835502,0.781097,83172.46144
KMode,GradientBoost,131316.068,0.846325,0.807281,77008.29002
KMode,XGBoost,124273.8829,0.859431,0.833601,72744.43986
KMode,MLR,150219.3396,0.786571,0.720522,88954.36595
KMode,CatBoost,119601.585,0.841058,0.810206,74264.60185
KMode,RandomForest,123217.6077,0.829133,0.79349,76538.26064
KMode,GradientBoost,123014.4405,0.842999,0.806114,76840.89296
KMode,XGBoost,123171.7915,0.862196,0.835103,72279.1485
KMode,MLR,137841.1809,0.793957,0.735941,84064.55837
KMode,CatBoost,133663.7345,0.837527,0.79498,78867.53183
KMode,RandomForest,132242.6318,0.826418,0.776939,77391.08942
KMode,GradientBoost,128853.0023,0.826661,0.793246,76600.01746
KMode,XGBoost,129367.2553,0.855553,0.822058,73127.52437
KMode,MLR,170151.7948,0.78816,0.731218,90185.41574
KMode,CatBoost,125055.8359,0.837125,0.801368,74548.33294
KMode,RandomForest,137096.4396,0.831456,0.782025,81903.97978
KMode,GradientBoost,126119.954,0.839487,0.794913,75888.97001
KMode,XGBoost,124171.3392,0.853385,0.827932,71049.83944
KMode,MLR,152375.9436,0.782465,0.723031,89355.76063
KMode,CatBoost,123412.6798,0.845916,0.80476,72776.94953
KMode,RandomForest,131629.4429,0.832389,0.789707,78916.9916
KMode,GradientBoost,132109.0304,0.837956,0.794389,79899.8502
KMode,XGBoost,118402.6584,0.856126,0.82513,71880.35386
KMode,MLR,153828.9766,0.803011,0.763139,89232.83926
KMode,CatBoost,115943.4131,0.849076,0.814,71245.43845
KMode,RandomForest,124155.3099,0.802478,0.753746,77354.14911
KMode,GradientBoost,126050.2985,0.82468,0.789445,75075.14655
KMode,XGBoost,120479.172,0.854906,0.833131,68861.45274
KMode,MLR,150207.8776,0.794364,0.727407,88483.34921
KMode,CatBoost,133900.8835,0.8273,0.780498,79338.24375
KMode,RandomForest,137685.7958,0.841288,0.789773,80575.5565
KMode,GradientBoost,127287.6025,0.828518,0.784146,76079.44192
KMode,XGBoost,122551.5103,0.851005,0.8192,70489.66543
KMode,MLR,155695.2179,0.793799,0.737138,86567.4872
KMode,CatBoost,122884.7337,0.84516,0.80632,75230.56412
KMode,RandomForest,140465.2495,0.823565,0.768184,80206.30933
KMode,GradientBoost,127749.3595,0.828481,0.783057,77375.36588
KMode,XGBoost,124623.194,0.85365,0.820581,71517.60953
KMode,MLR,159199.5154,0.791946,0.720698,88769.4761
KMode,CatBoost,126143.3885,0.84547,0.804793,75163.47323
KMode,RandomForest,127873.0948,0.8427,0.805056,77340.59707
KMode,GradientBoost,124160.1091,0.839364,0.804748,76045.9314
KMode,XGBoost,113003.6201,0.870155,0.841923,67313.07377
KMode,MLR,141867.7544,0.795579,0.732871,84454.16881
KMode,CatBoost,129486.6313,0.841583,0.801342,75340.95968
KMode,RandomForest,130767.3846,0.836942,0.791478,77722.97942
KMode,GradientBoost,139577.0845,0.830825,0.777754,79486.51236
KMode,XGBoost,124585.0883,0.858908,0.825588,71681.75943
KMode,MLR,157888.9844,0.781575,0.712978,88546.68732
KMode,CatBoost,130118.9186,0.831801,0.788177,76534.50385
KMode,RandomForest,134222.0368,0.812373,0.765607,81630.15967
KMode,GradientBoost,134822.4168,0.833244,0.790691,79479.31516
KMode,XGBoost,118058.3994,0.854422,0.828461,69768.25415
